company_name,wko_rows,wko_profile_url,http_status,employee_best_numeric_mention,employee_mention_kinds,employee_evidence_contexts,mentions_count,profile_text_len,error
APCOA Austria GmbH,1,https://firmen.wko.at/apcoa-austria-gmbh/wien/?firmaid=c9f86de5-7380-41c6-b43b-08d902f1f8f6&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
APF Beratungs GmbH & Co KG,1,https://firmen.wko.at/apf-beratungs-gmbh-und-co-kg/wien/?firmaid=6683c19a-23bc-43ca-b6a0-42dc60a2bb9f&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
APIS Immobilienservice e.U.,1,https://firmen.wko.at/apis-immobilienservice-eu/steiermark/?firmaid=96b9194f-5ed2-40e1-beee-3c212289a670&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
APL Immobilientreuhand GmbH,1,https://firmen.wko.at/apl-immobilientreuhand-gmbh/nieder%c3%b6sterreich/?firmaid=3f74eb15-3501-4785-8c29-1830a3220ef3&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
Apleona Real Estate AT GmbH,1,https://firmen.wko.at/apleona-real-estate-at-gmbh/wien/?firmaid=0c7fae37-ce34-4376-be1a-e8458a034c13&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
APPL-IMPULS Verwaltungs & Handels GmbH.,1,https://firmen.wko.at/appl-impuls-verwaltungs-und-handels-gmbh-appl-impuls-immobilien/nieder%c3%b6sterreich/?firmaid=a0a8d2db-eb30-4032-b4e4-3f0b0739a318&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
APPM - PROPERTY MANAGEMENT GMBH,1,https://firmen.wko.at/appm-property-management-gmbh-immobilienverwaltung/wien/?firmaid=dbaca477-e1a8-4620-a2a1-57392b1062ca&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
AR AUSTREAL Immobilien e.U.,2,https://firmen.wko.at/ar-austreal-immobilien-eu/wien/?firmaid=23011ab4-401c-4328-bc92-cfc5a4165ecb&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
AR Immobilien GmbH,1,https://firmen.wko.at/ar-immobilien-gmbh/tirol/?firmaid=98498fac-9583-41b8-b4dc-a8a451b53b43&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
ARCHIONIC Immobilien GmbH,1,https://firmen.wko.at/archionic-immobilien-gmbh/ober%c3%b6sterreich/?firmaid=68141e8a-9692-413c-b01c-6f552216f00c&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
ARCTOS Immobilien Services GmbH & Co KG,1,https://firmen.wko.at/arctos-immobilien-services-gmbh-und-co-kg/steiermark/?firmaid=846acdbd-8bd2-471c-a232-6c9eb6d664a3&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
ARE Austrian Real Estate Development GmbH,1,https://firmen.wko.at/are-austrian-real-estate-development-gmbh/wien/?firmaid=73010a1e-53bf-44ef-9fc9-3a395ed8bd8d&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
AReal Immobilientreuhand GmbH,1,https://firmen.wko.at/areal-immobilientreuhand-gmbh-immobilientreuh%c3%a4nder/wien/?firmaid=573b6f83-edf7-426a-a221-24abf3755208&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
AREAL Liegenschaftsverwaltungs GmbH,1,https://firmen.wko.at/areal-liegenschaftsverwaltungs-gmbh/ober%c3%b6sterreich/?firmaid=150b4ebc-7a35-498d-a468-507220f57ecd&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
AREALIS Liegenschaftsmanagement GmbH,1,https://firmen.wko.at/arealis-liegenschaftsmanagement-gmbh/wien/?firmaid=bb57aedf-9e61-488c-90ec-341d932136ae&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
Arealita Immobilientreuhand und Sachverständigen GmbH,1,https://firmen.wko.at/arealita-immobilientreuhand-und-sachverst%c3%a4ndigen-gmbh-arealita-immobilientreuhand-und-sachverst%c3%a4ndigen-gmbh/tirol/?firmaid=83b1dd60-e1d6-48ca-bb77-0f88be05e9e6&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
